Version,Segment,Sysytem Source ,Source Object Name (Curated),Source Field Name,Source Field Data Type,Transformation Rule,Target System Name ,Target Object Name ,Target Field Name,Target Field Data Type,Target Field Description,Default Value in Target,Mandatory,Comment
v1.2,VEHICLE,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is 'Vehicle marque'.",LSM,dim_vehicle,vehicle_marque,varchar(16383),"It refers to the details of the model like classic, hybrid, etc.",,,
v1.2,VEHICLE,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is 'BHP'.",LSM,dim_vehicle,BHP,varchar(16383),brake horsepower is a measure of an engine's power output before transmission losses.,,,
v1.2,VEHICLE,ACTURIS-SDW,mo_sdw_product_question_answer,mo_prd_ques_ans_description,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key,left join product_question_answer table on answer_keyand product_question table on product_question_key 2. Populate details from description column of product_question_answer table  when question_text column from product_question table is 'Vehicle type'.",LSM,dim_vehicle,vehicle_type,varchar(16383),It categorizes a vehicle based on its design and intended use.,,,
v1.2,VEHICLE,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is  'ABI group'.",LSM,dim_vehicle,ABI_group,varchar(16383),It is a classification system used by insurers in the UK to categorize vehicles based on risk and characteristics.,,,
v1.2,VEHICLE,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is  'PWS value'.",LSM,dim_vehicle,pws_value,varchar(16383),It refers to the total amount of premiums written and submitted by an insurer within a specified period.,,,
v1.2,VEHICLE,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is  'PWS category'.",LSM,dim_vehicle,pws_category,varchar(16383),It classifies based on their premium writing characteristics.,,,
v1.1,VEHICLE,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is  'Transmission type'.",LSM,dim_vehicle,transmission_type,varchar(16383),"It states the method by which a vehicle's engine transfers power to its wheels like automatic, manual,etc.",,,
v1.1,VEHICLE,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is 'Vehicle_Security_Features'.",LSM,dim_vehicle,vehicle_security_features,varchar(100),Technologies and mechanisms that improve the safety and protection of a vehicle against theft or unauthorized access.,,,
v1.2,VEHICLE,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is 'Fuel type'.",LSM,dim_vehicle,fuel_type,varchar(16383),"It refers to the type of fuel that a vehicle is designed to use, such as gasoline, diesel, electric, hybrid,etc.",,,
v1.2,VEHICLE,ACTURIS-SDW,mo_sdw_product_question_answer,mo_prd_ques_ans_description,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key,left join product_question_answer table on answer_keyand product_question table on product_question_key 2. Populate details from description column of product_question_answer table  when question_text column from product_question table is 'Any adaptations'.",LSM,dim_vehicle,adaptation_flag,varchar(16383),To determine adaptation against a vehicle(if any).,,,
